%   Sat Jul 01 2017 11:04:20 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                STRING
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina, caixa barra de proteina}

@data
143, 143, 86, Integralmedica, bcaa
179.9, 179.9, 32, Atlhetica Nutrition, bcaa
119.9, 119.9, 29, Black Skull, bcaa
59.9, 59.9, 95, Max Titanium, bcaa
24.9, 24.9, 31, Atlhetica Nutrition, bcaa
84, 84, 59, Max Titanium, bcaa
124.9, 124.9, 15, Atlhetica Nutrition, bcaa
54.9, 54.9, 29, Max Titanium, bcaa
120, 120, 76, Max Titanium, bcaa
14.99, 14.99, 26, Atlhetica Nutrition, bcaa
33.92, 33.92, 54, Integralmedica, bcaa
99.9, 99.9, 106, Atlhetica Nutrition, bcaa
44.9, 44.9, 66, Optimum Nutrition, bcaa
75, 75, 21, Max Titanium, bcaa
68, 68, 512, Atlhetica Nutrition, bcaa
99.9, 99.9, 62, Max Titanium, bcaa
164.9, 164.9, 14, Atlhetica Nutrition, bcaa
189.8, 189.8, 16, Gaspari Nutrition, bcaa
99.9, 99.9, 24, Black Skull, bcaa
69.92, 69.92, 25, Atlhetica Nutrition, bcaa
184, 184, 32, Integralmedica, bcaa
114.9, 114.9, 14, Atlhetica Nutrition, bcaa
100, 100, 1, Sem Marca, bcaa
189.99, 189.99, 19, Gaspari, bcaa
164.99, 164.99, 14, Atlhetica Nutrition, bcaa
179, 179, 41, Optimum Nutrition, bcaa
74, 74, 111, Atlhetica Nutrition, bcaa
99.9, 99.9, 27, Integralmedica, bcaa
52.99, 52.99, 25, Max Titanium, bcaa
138.9, 138.9, 14, Atlhetica Nutrition, bcaa
138.9, 138.9, 66, Herbalsave, bcaa
11.9, 11.9, 12, Atlhetica Nutrition, bcaa
114.9, 114.9, 85, Perfect Labs, bcaa
64.11, 64.11, 111, Integralmedica, bcaa
171, 171, 4, Atlhetica Nutrition, bcaa
49.9, 49.9, 33, Max Titanium, bcaa
37.92, 37.92, 28, Atlhetica Nutrition, bcaa
134.9, 134.9, 27, Black Skull, bcaa
18, 18, 25, Maxx Performa, bcaa
155.9, 155.9, 99, Atlhetica Nutrition, bcaa
107.22, 107.22, 37, Integralmedica, bcaa
269.9, 269.9, 8, Atlhetica Nutrition, bcaa
309.9, 309.9, 19, Arnold Nutrition, bcaa
135.08, 135.08, 79, BodyAction, bcaa
124.9, 124.9, 48, Atlhetica Nutrition, bcaa
59.21, 59.21, 260, Max Titanium, bcaa
29.5, 29.5, 13, Atlhetica Nutrition, bcaa
129.9, 129.9, 91, Integralmedica, bcaa
14.9, 14.9, 47, Sem Marca, bcaa
28.4, 28.4, 30, Atlhetica Nutrition, bcaa
346.99, 346.99, 9, Max Titanium, bcaa
122.99, 122.99, 24, Atlhetica Nutrition, bcaa
120.1, 120.1, 23, Max Titanium, bcaa
47.75, 47.75, 22, Integralmedica, bcaa
85, 85, 21, Atlhetica Nutrition, bcaa
46.99, 46.99, 62, Red Series, bcaa
102.9, 102.9, 3, Atlhetica Nutrition, bcaa
176.05, 176.05, 22, Optimum Nutrition, bcaa
69.85, 69.85, 30, Optimum Nutrition, bcaa
83, 83, 76, Atlhetica Nutrition, bcaa
149.99, 149.99, 19, Integralmedica, bcaa
20, 20, 687, Atlhetica Nutrition, bcaa
89.9, 89.9, 18, Optimum Nutrition, bcaa
98, 98, 25, Max Titanium, bcaa
17.39, 17.39, 8, Atlhetica Nutrition, bcaa
189.95, 189.95, 15, Black Skull, bcaa
33.9, 33.9, 18, Atlhetica Nutrition, bcaa
129.9, 112.2, 86, Integralmedica, bcaa
220, 185, 29, Integralmedica, bcaa
29.6, 29.6, 39, Oxyelite, termogenico
31.9, 31.9, 280, Nutrex, termogenico
51.9, 51.9, 3640, Kimera, termogenico
60.75, 60.75, 1491, Nutrex, termogenico
118.99, 118.99, 577, Oxyelite, termogenico
52.9, 52.9, 11, Kimera, termogenico
59.99, 59.99, 117, Oxyelite, termogenico
40, 40, 122, BodyAction, termogenico
149.99, 149.99, 28, Oxyelite, termogenico
69, 69, 139, Atlhetica Nutrition, termogenico
159.99, 159.99, 65, Nutrex, termogenico
125, 125, 2276, Oxyelite, termogenico
59.99, 59.99, 3873, Kimera, termogenico
79.99, 79.99, 337, Oxyelite, termogenico
137, 137, 507, Nutrex, termogenico
50.9, 50.9, 433, Kimera, termogenico
44.9, 44.9, 170, SineFlex, termogenico
230, 230, 153, Nutrex, termogenico
149.99, 149.99, 284, Oxyelite, termogenico
45.99, 45.99, 85, SineFlex, termogenico
120, 120, 488, Nutrex, termogenico
135.99, 135.99, 752, Kimera, termogenico
157.77, 157.77, 483, Cellucor, termogenico
188.17, 188.17, 54, Oxyelite, termogenico
59.41, 59.41, 348, SineFlex, termogenico
59.9, 59.9, 788, Kimera, termogenico
168, 168, 144, Nutrex, termogenico
84.9, 84.9, 385, Kimera, termogenico
118.99, 118.99, 293, Nutrex, termogenico
50.9, 50.9, 440, Kimera, termogenico
